location_name,review_count,is_closed,price,rating
Akina Sushi,148,True,2.0,3.0
Akira Japanese Cuisine,30,True,2.0,2.5
Akura Sushi,123,False,2.0,3.5
Al Araf Halal Fried Chicken,14,True,1.0,3.5
Al Bustan,144,True,3.0,3.0
Al Diwan Restaurant Lounge,21,True,3.0,3.0
Al Forno Pizzeria,151,True,2.0,3.5
Al Horno Lean Mexican Kitchen,519,False,2.0,3.4
Al Kasbah Moroccan Restaurant,11,True,1.0,4.5
Ala Carte Istanbul,20,True,,4.5
Alachi Masala,248,False,1.0,4.0
Alan's Kitchen Mexican Cuisine,102,False,2.0,4.5
Albella Ristorante,20,True,2.0,3.0
Albert's Mofongo,198,True,2.0,2.5
Alberto's Pizza and Cheesesteak,24,True,1.0,2.5
Alcala Restaurant,171,False,3.0,4.0
Alder,266,True,3.0,3.0
Aleo Restaurant & Bar,153,True,2.0,3.5
Alex Steak House 184,75,True,2.0,3.0
Alexandra,112,True,2.0,3.5
Alfanoose Middle Eastern Restaurant,221,True,2.0,3.0
Alfie's,605,False,2.0,4.0
Alfredo 100,95,True,3.0,3.0
Ali Baba Authentic,17,True,,5.0
Ali Baba Organic Marketplace,65,False,1.0,3.5
Ali Baba of West Side,85,True,2.0,3.5
Ali Baba's Turkish Cuisine,302,True,2.0,3.0
Alibabagrill,53,True,2.0,2.0
Alice Restaurant,75,False,,4.5
Alice's Tea Cup Chapter II,1483,False,2.0,4.0
Alidoro,340,False,2.0,3.5
Alin Sushi,2,False,,5.0
Aliotta's Pizzeria,21,True,1.0,3.5
Alison,108,False,2.0,4.5
All About Food,74,True,2.0,3.0
All American Diner,12,True,1.0,4.0
All Stars Sports Bar & Grill,94,False,2.0,4.0
All'Antico Vinaio NYC,100,False,2.0,4.5
All'antico Vinaio Pop up,19,True,,4.0
Allen Street Pizza,5,False,,2.0
Allora Ristorante,682,False,3.0,4.5
Allora Rock Center,1,False,,5.0
Alma 33,134,True,2.0,3.5
Almayass Restaurant NYC,425,True,3.0,4.5
Almond,1050,True,2.0,4.0
Almond Tribeca,62,True,3.0,4.5
Alpha Fusion,420,True,2.0,3.5
Alpha Fusion 2,76,True,2.0,3.5
Alphonso's Pizzeria & Trattoria,144,False,1.0,4.0
Alquimia Bistro Bar,15,True,2.0,3.5
Alta,1979,False,3.0,4.0
Altesi Downtown,109,False,2.0,4.0
Altesi Ristorante,78,False,3.0,3.5
Altus Cafe,163,True,2.0,3.0
Ama Raw Bar,179,False,,4.75
Amada,216,True,3.0,3.5
Amadeus Pizza,229,True,1.0,3.0
Amai,17,True,,2.5
Amali Mou,62,True,2.0,3.5
Amali NYC,475,False,2.0,4.0
Amanecer restaurant and lounge,16,True,1.0,3.5
Amar,7,False,,3.5
Amaranth Restaurant,102,False,3.0,3.0
Amarone NY,339,False,2.0,4.0
Amata,89,False,3.0,4.0
Amaze,277,False,2.0,3.0
Amaze 58 Asian Fusion,110,False,2.0,3.0
Amaze Fusion & Lounge,77,True,2.0,2.5
Amazed Palace,8,False,,2.0
Amazing 66,280,True,2.0,3.5
Amba Fidi,38,True,1.0,3.5
Ambassades Buffet,9,True,,2.5
Amber,411,False,2.0,3.75
Amber Kips Bay,272,True,2.0,3.5
Amber Upper East,243,False,2.0,3.5
Amber Village,79,True,2.0,3.0
Amber West Village,251,False,2.0,4.0
Ambo,35,False,2.0,5.0
Ambrose Beer & Lobster,118,True,2.0,3.5
Amcook Fusion Cuisine,63,True,2.0,2.5
Amelie,265,False,3.0,4.5
Amer,38,True,2.0,4.5
America's Cafe & Grill,69,False,1.0,3.5
American Bar,99,False,,3.5
American Beauty,48,True,2.0,4.0
American Cut Steakhouse Midtown,233,False,4.0,4.0
American Cut Steakhouse Tribeca,623,False,4.0,4.0
American Festival Cafe,1,False,,3.0
American Flatbread Tribeca Hearth,90,True,2.0,4.0
American Retro,216,False,2.0,4.0
American Whiskey,333,False,2.0,3.5
American Wing Company,29,False,,3.5
Amici 36,48,True,1.0,3.0
Amici II,230,True,2.0,3.5
Amici Ristorante,138,False,2.0,4.5
Amigo by Nai,80,False,,4.5
Amla,71,True,2.0,4.0
Amma,542,True,3.0,4.0
Ammos Estiatorio,291,False,3.0,3.0
Amor Cubano,552,False,2.0,4.0
Amore Trattoria,4,False,2.0,2.0
Amorino Gelato,2236,False,2.0,4.375
Amsterdam Ale House,419,False,2.0,3.0
Amura Japanese,364,False,2.0,4.0
Amuse Bouche Bistro,22,False,,5.0
Amuse Wine Bar,72,True,2.0,4.5
Amy Fontaine's,21,False,,4.0
Amy Ruth's,2857,False,2.0,4.0
Amy's Restaurant,115,False,2.0,3.5
An Choi,496,True,2.0,3.5
An'Nam,336,False,2.0,4.0
AnTalia NYC,440,False,2.0,4.0
Anago Sushi,36,True,2.0,3.25
Anand Indian Cuisine,152,False,2.0,4.0
Ananda,368,False,2.0,4.0
Anar,78,False,2.0,4.5
Anassa Taverna,359,False,3.0,3.5
Anatolia Mediterranean Cuisine,198,True,2.0,3.5
Anchor Bar NYC,157,True,2.0,4.0
Anchor Grill,97,True,3.0,5.0
Anchor Heights,157,True,2.0,4.0
Andaman Thai Bistro,149,True,2.0,4.0
Andanada,259,True,3.0,3.0
Andaz Indian Restaurant,179,True,2.0,3.5
Andreas' Brick Oven Ristorante,9,False,2.0,2.5
Andrews Coffee Shop,476,False,2.0,3.0
Andy's Restaurant,35,False,1.0,4.0
Andys Deli Nyc,41,False,1.0,2.0
Anejo,775,False,2.0,3.5
Anejo Tribeca,591,False,2.0,4.0
Anesis Cafe,4,True,,4.5
Angaar,173,False,2.0,4.0
Angel of Harlem,628,False,2.0,3.5
Angela's Montana Table,76,True,2.0,4.0
Angela's Sandwich Shop,233,True,1.0,4.0
Angeletto Restaurant,272,False,3.0,4.5
Angelica Kitchen,729,True,2.0,3.5
Angelica's Uptown,40,False,,3.5
Angelo Bellini,148,False,2.0,3.0
Angelo's Coal Oven Pizzeria,1008,False,2.0,4.0
Angelo's Pizza,883,False,2.0,3.25
Angkor Cambodian Bistro,286,True,2.0,4.5
Angus Club Steakhouse,157,True,4.0,4.0
Angus' Cafe Bistro,116,True,2.0,3.0
Ani Ramen House,10,False,,3.0
Animals Food and Drink,23,True,2.0,5.0
Anise,32,False,,3.0
Anita's Breakfast Truck,1,False,,5.0
Anjappar Chettinad Restaurant,359,False,2.0,3.0
Anka Grill,217,True,2.0,3.5
Annabel,278,True,2.0,4.0
Annie Moore's Bar & Restaurant,198,False,2.0,3.5
Annisa,523,True,4.0,4.0
Anpanman Bakery Cafe,35,True,1.0,4.0
Anthis Greek Food,117,True,1.0,4.0
Anthos,53,True,3.0,3.5
Antibes Bistro,378,True,2.0,3.5
Antica Ristorante,571,False,2.0,4.25
Antica Venezia,91,True,3.0,4.0
Antico Noe,191,True,2.0,4.5
Antika Restaurant & Pizzeria,332,True,2.0,3.5
Antique Garage,481,False,2.0,3.5
Antique Garage Tribeca,106,False,3.0,4.0
Antojeria La Popular,51,True,2.0,3.0
Antojito Mexicano,37,False,1.0,4.5
Antojitos Mexicanos,29,False,1.0,4.0
Anton's,119,False,3.0,4.0
Antonucci Cafe,167,False,3.0,4.0
Anything At All,26,False,2.0,3.5
Anyway Cafe,250,False,2.0,4.0
Aoyama Japanese Fusion Cuisine,64,True,2.0,3.5
Aperitivo,37,False,,5.0
Aperitivo Pizza Bar,168,True,2.0,3.0
Apna Masala Indian Cuisine,202,True,2.0,3.5
Apna Taj,20,True,2.0,3.5
AppeThaize,28,False,,4.5
Appetito Ristorante,50,True,2.0,2.5
Apple Restaurant & Bom Bar NYC,155,True,2.0,3.5
Applebee's,994,False,2.0,2.1666666666666665
Applejack Diner,357,False,2.0,3.0
Aprovecho Mexican Restaurant,113,True,2.0,3.0
Aqua 55 Restaurant and Bar,1,False,,5.0
Aqua Boil,517,False,2.0,4.5
Aqua Marina Italian Cuisine,146,False,2.0,3.0
Aquagrill,1354,True,3.0,4.5
Aquavit,824,False,4.0,4.0
Arabelle,25,False,3.0,3.0
Arabesque,425,False,2.0,3.5
